Federate,Localize,Target
"[0.65377575, 0.460974, 1.9225972, -0.8138546, -2.7437942, 0.7063661]","[-0.0451069, 1.1692749, 1.5150841, -1.7015747, 0.034893006, -1.1718915]",0
"[0.19903678, 0.4916159, 0.31806198, -2.8264909, -0.120534696, 1.4688725]","[-0.6910726, -0.77748257, 1.6556304, -0.87664616, 1.7264626, -0.8746888]",0
"[0.19851394, 0.037355695, 2.4299943, -1.122689, -2.133903, 0.90186137]","[-0.39866874, -1.4506826, 1.0782796, -0.5270703, 2.0002358, -0.52405584]",0
"[-0.14656042, -0.055022277, 2.21692, -1.5218198, -1.5824044, 1.2347218]","[-0.6888096, -0.7750701, 1.8738289, -0.87394065, 1.5014595, -0.8719751]",0
"[0.25816008, 0.5470659, 1.6367482, -2.5379727, -1.3130468, 1.1859347]","[-0.6910725, -0.77748245, 1.6556226, -0.876646, 1.7264696, -0.8746887]",0
"[-0.7921527, -0.1914425, -1.188912, 0.68869454, 2.1634152, 0.39566454]","[-1.3109313, -0.47224924, -0.4011448, 0.9257867, -0.3939752, 1.880116]",0
"[0.4160353, 0.6951326, 1.659664, -1.5121274, -2.4482381, 1.0408086]","[-0.33697185, -1.5359471, 2.088299, -0.4533102, 0.883346, -0.45007268]",0
"[-0.7786094, -0.60594845, -0.92028946, 1.325755, 1.6847864, 0.48697764]","[-1.3109292, -0.4722505, -0.40114623, 0.92578816, -0.3939766, 1.8801162]",0
"[0.4841303, -0.05329652, 2.0143335, 0.27106655, -2.720141, 0.5859892]","[-0.032752298, -1.7856249, 0.05071892, -0.089608364, 2.0746288, -0.08527106]",0
"[0.7464108, 0.44211346, 2.26906, -1.1742464, -2.4246976, 0.48101687]","[-0.09754728, -0.14475285, 1.6061813, -1.5238459, 1.4298894, -1.3019248]",0
"[-0.444, -0.005975398, -0.9509545, 0.0615813, 2.5661767, -0.014106582]","[-0.33180574, -1.6090794, -0.3125381, 1.0167435, -0.30698878, 1.718583]",0
"[-0.32150567, -1.0434035, -0.4896857, -0.06923928, 1.9368436, 0.8528461]","[-1.310928, -0.4722512, -0.40114704, 0.92578924, -0.3939774, 1.8801163]",0
"[-0.37827003, -0.9067529, 1.6883174, 0.2138097, -1.3758953, 1.3050748]","[-0.6910725, -0.7774825, 1.6556296, -0.8766461, 1.726463, -0.87468874]",0
"[-1.5580609, -0.36536077, 0.089422196, 0.2620601, 0.92862207, 1.2908316]","[-0.6910726, -0.77748257, 1.6556315, -0.87664616, 1.7264609, -0.8746888]",0
"[-0.45281735, 0.1503953, 1.5962597, -1.6945155, -1.2686635, 1.5465055]","[-0.6910726, -0.77748257, 1.655633, -0.87664616, 1.7264596, -0.8746888]",0
"[0.007900896, 0.312355, 1.6950107, -2.8305514, 1.245018, 0.24806641]","[0.18121243, -1.5634092, 1.181198, -0.7326268, 1.7438643, -0.73023397]",0
"[0.4895815, 0.7641095, 1.8030425, -1.5352825, -2.459201, 0.87766826]","[-0.045114312, 1.169289, 1.5150771, -1.7015688, 0.034884166, -1.1718886]",0
"[-1.3656079, -0.605047, 0.35777533, -0.07491262, 1.0290306, 1.3123448]","[-0.91226226, 0.3087384, 1.8681456, -1.1410837, 1.0940878, -1.139926]",0
"[0.96973324, 0.8750902, 1.8738976, -1.8028665, -2.2044194, 0.41403335]","[0.018818337, -1.8935667, 1.9858645, -0.027954428, 0.111122385, -0.023430688]",0
"[-0.7786094, -0.60594845, -0.92028946, 1.325755, 1.6847864, 0.48697764]","[-1.3109313, -0.4722492, -0.40114477, 0.9257865, -0.39397517, 1.8801161]",0
"[-1.0613492, -0.163091, 0.075923584, -0.3640544, -0.35547587, 1.8303175]","[-0.017060438, -0.058949575, 0.06977965, -0.07084837, 0.06833777, -0.066454336]",0
"[-0.49635473, 0.65023756, 1.571353, -1.7479193, -1.5990123, 1.4232361]","[-0.6910725, -0.7774825, 1.6556283, -0.8766461, 1.7264645, -0.87468874]",0
"[0.5789394, -1.729865, 0.8203943, 0.39967188, 0.36686653, 0.6532638]","[0.018817022, -1.8935643, 1.9858675, -0.027956, 0.11112081, -0.023432264]",1
"[1.0614698, 0.7180766, 1.896302, -1.3222772, -2.4552295, 0.3430273]","[-0.6910725, -0.77748245, 1.6556168, -0.876646, 1.7264749, -0.8746887]",0
"[1.2027644, 0.74551606, 1.5282905, -2.2928917, 0.23101091, -0.55846846]","[-0.6873552, -0.77351964, 1.4815555, -0.8722019, 1.8796226, -0.87023115]",0
"[-0.97759676, -0.28791013, -0.6282104, 0.110489175, 2.3438926, 0.50198966]","[-0.017060438, -0.058949575, 0.06977965, -0.07084837, 0.06833777, -0.066454336]",0
"[-0.9155933, -0.4603017, -1.2148336, 1.1644224, 1.3158362, 0.9205014]","[-1.4905627, 0.20655218, -0.9350306, 0.22689818, 0.36532542, 1.7964863]",0
"[0.20098476, 0.49344283, 2.3344133, -2.8310828, -0.118035495, 0.38507482]","[-0.6910726, -0.77748257, 1.6556323, -0.87664616, 1.7264606, -0.8746888]",0
